Stadtteil,Bevölkerung,Unter18-Jährige,Anteilderunter18-Jährigenin%,65-JährigeundÄltere,Anteilder65-JährigenundÄlterenin%,AusländerinnenundAusländer,Ausländeranteilin%,BevölkerungmitMigrations-hintergrund,AnteilderBevölkerungmitMigrations-hintergrundin%,Unter18-JährigemitMigrations-hintergrund,Anteilderunter18-JährigenmitMigrations-hintergrundin%,Haushalte,PersonenjeHaushalt,Einpersonen-haushalte,AnteilderEinpersonen-haushaltein%,HaushaltemitKindern,AnteilderHaushaltemitKindernin%,Alleinerziehende,AnteilderHaushaltevonAlleinerziehendenin%,Flächeinkm²,Bevölkerungs-dichte,Geburten,Sterbefälle,Zuzüge,Fortzüge,Wanderungssaldo,Sozial-versicherungs-pflichtigBeschäftigte(Dez2015),Beschäftigten-quotein%(Dez2015),Arbeitslose(Dez2015),Arbeitslosenanteilin%(Dez2015),JüngereArbeitslose(Dez2015),ArbeitslosenanteilJüngererin%(Dez2015),ÄltereArbeitslose(Dez2015),ArbeitslosenanteilÄltererin%(Dez2015),Leistungs-empfänger/-innennachSGBII(Dez2015),AnteilderLeistungs-empfänger/-innennachSGBIIin%(Dez2015),Unter15-JährigeinMindestsicherung(Dez2015),Anteilderunter15-JährigeninMindestsicherungin%(Dez2015),Bedarfs-gemeinschaftennachSGBII(Dez2015),Lohn-undEinkommen-steuerpflichtige(2010),Durchschnitt-lichesEinkommenjeSteuerpflichtigeninEUR(2010),Wohngebäude(2015),Wohnungen(2015),BezugsfertigeWohnungen(2015),WohnungeninEin-undZweifamilien-häusern(2015),AnteilderWohnungeninEin-undZweifamilien-häusernin%(2015),Wohnungsgrößeinm²(2015),WohnflächejeEinwohner/-ininm²(2015),Sozialwohnungen(Jan2016),Sozialwohnungs-anteilin%(Jan2016),SozialwohnungenmitBindungsauslaufbis2021,SozialwohnungenmitBindungsauslaufbis2021in%,PreisefürGrundstückeinEUR/m²(Jan2016),PreisefürEin-bzwZwei-familienhäuserinEUR/m²(Jan2016),PreisefürEigentums-wohnungeninEUR/m²(Jan2016),KindergärtenundVorschulklassen(März2016),Grundschulen(2015/2016),SchülerinnenundSchülerderSekundarstufeI(2015/2016),AnteilderSchülerinnenundSchülerinStadtteilschulenin%(2015/2016),AnteilderSchülerinnenundSchülerinGymnasienin%(2015/2016),NiedergelasseneÄrzte(Jan2016),Allgemeinärzte(Jan2016),Zahnärzte(Dez2015),Apotheken(Dez2015),PrivatePKW(Jan2016),PKW-Dichte(Jan2016)
Hamburg-Altstadt,1879,190,10.1,231,12.3,421,22.4,786,42.0,128,68.1,1319,1.5,894,67.8,128,9.7,46,35.9,1.3,1459,17,14,450,306,+144,885,59.7,100,6.7,7,4.5,10,5.9,219,11.7,52,31.5,131,1728,26493,95,1234,77,17,1.4,72.2,47.4,214,17.3,76,35.5,,,,1,,47,59.6,36.2,148,42,47,9,585,311
HafenCity,2319,334,14.4,267,11.5,409,17.6,783,33.8,173,51.6,1279,1.9,600,46.9,235,18.4,43,18.3,2.4,957,34,5,626,366,+260,977,56.0,28,1.6,,,3,1.4,18,0.8,3,1,11,1041,81470,73,1220,458,6,0.5,93.5,49.2,9,0.7,9,100.0,,,6602,2,1,43,27.9,72.1,11,4,5,1,827,357
Neustadt,12586,1422,11.3,1812,14.4,2626,20.9,4601,36.5,705,49.6,8700,1.5,6041,69.4,993,11.4,302,30.4,2.2,5636,164,94,1940,1693,+247,5477,57.4,561,5.9,26,2.7,100,7.3,1067,8.5,192,15.7,754,6709,31180,638,7327,42,66,0.9,62.6,36.4,1507,20.6,641,42.5,,,2949,10,1,394,56.1,41.6,166,19,72,9,3065,244
St.Pauli,22535,2945,13.1,2138,9.5,4958,22.0,8201,36.4,1469,50.0,15176,1.5,10510,69.3,1948,12.8,653,33.5,2.3,9806,247,148,3207,3042,+165,8838,49.6,1447,8.1,76,4.0,184,9.5,3273,14.5,682,26.6,2147,11067,25615,1268,12336,29,165,1.3,64.1,35.1,2153,17.5,1014,47.1,1137,,4847,19,1,746,62.3,33.1,39,11,13,8,4316,192
St.Georg,10736,1087,10.1,1375,12.8,2468,23.0,4014,37.4,556,51.1,7028,1.5,4824,68.6,727,10.3,178,24.5,1.8,5847,117,98,2082,2024,+58,4503,53.4,483,5.7,42,3.8,64,5.7,895,8.3,152,16.3,622,5560,39261,534,6009,226,56,0.9,71.4,39.9,752,12.5,123,16.4,1895,,4654,8,3,276,44.6,53.6,106,36,15,8,2371,221
Hammerbrook,2454,151,6.2,98,4.0,1022,41.6,1362,55.5,111,73.5,1537,1.4,1168,76.0,100,6.5,40,40.0,2.5,996,13,6,1087,855,+232,1142,51.3,199,8.9,13,2.3,24,15.1,373,15.2,50,39.1,287,844,22664,70,1073,21,5,0.5,64.2,28.1,128,11.9,14,11,770,,,5,1,38,65.8,31.6,1,,13,,430,175
Borgfelde,6845,660,9.6,943,13.8,1592,23.3,2696,39.4,421,64.3,4336,1.4,3060,70.6,398,9.2,116,29.1,0.9,7922,79,56,1367,1320,+47,3048,57.2,305,5.7,19,1.9,48,7.8,606,8.9,116,20.2,419,3496,23026,375,4209,213,35,0.8,55.6,34.2,163,3.9,67,41.1,592,,3551,4,,181,60.8,37.0,5,2,3,1,1645,240
Hamm,38515,4450,11.6,5522,14.3,6990,18.1,13272,34.5,2776,62.6,25902,1.5,17627,68.1,2805,10.8,900,32.1,3.8,10235,436,351,5816,5178,+638,18130,62.0,1776,6.1,94,2.2,268,7.6,4073,10.6,1045,27.7,2433,20796,23447,2308,23210,36,257,1.1,58.7,35.4,1177,5.1,258,21.9,347,,2717,14,4,1162,59.6,36.1,29,12,28,6,10270,267
Horn,38253,5800,15.2,6158,16.1,9297,24.3,18604,48.7,4201,72.7,22558,1.7,13195,58.5,3543,15.7,1188,33.5,5.8,6570,465,387,4839,4796,+43,14794,54.4,2110,7.8,148,3.0,303,7.6,6506,17.0,1898,38.7,3532,17499,20043,2749,19287,43,984,5.1,60.8,30.7,1551,8.0,631,40.7,308,,2466,15,5,1778,65.0,29.6,37,22,14,6,9992,261
Billstedt,70100,13566,19.4,12589,18.0,16878,24.1,38744,55.3,10027,73.9,34592,2.0,15758,45.6,7865,22.7,2437,31.0,16.8,4162,767,589,5995,5592,+403,23783,51.3,4256,9.2,330,3.9,663,7.6,15352,21.9,4899,43.8,7305,29057,21705,7903,31507,177,6207,19.7,72.2,32.5,7723,24.5,2719,35.2,324,2491,2168,24,10,4628,67.8,28.4,98,47,37,10,21595,308
